GEOID,MEDRENT,MVALOO,PCTKID,PCTOLD,AVGPERHH,PCTFRMPOP,FEMLBR,PCTFHH,PCTPOV,PCTRENT,PCTMOBL,HOUDEN,PCTNOHS,PCTCVLBF,PCTVOTE,LGINREV,GENEXPPC,EXPED,INFMTR,CHILLD,DISNWR,LBWB,HUWNF,HUWNP,MD
31039,398,66000,0.06518,0.20239,2.53,0.20602,0.4439,0.07544,0.08762,0.2636,0.04343,7.48776,83.2,0.99981,0.40057,2646,2593,12540,79.4,87.22925,177.3988,7.84083,0,15.68166,0
53069,519,147500,0.05282,0.18462,2.42,0.02458,0.4453,0.08837,0.07871,0.17634,0.23828,6.78171,92.3,1,0.5999,4028,3752,4699,219.2,109.83264,695.6067,5.23013,10.46025,57.53138,2.61506
35011,371,45800,0.05089,0.25357,2.35,0.13661,0.45127,0.10894,0.17098,0.15532,0.24178,0.56218,78.1,1,0.46607,3559,3562,4347,105.2,102.67857,589.28571,4.46429,0,8.92857,0
31109,519,105900,0.06664,0.1042,2.4,0.01229,0.47781,0.14856,0.09078,0.37611,0.02589,124.2335,92.9,0.9964,0.50937,2984,3009,402342,63.6,47.86429,294.21753,9.34912,7.23158,4.87433,0.5993
31129,315,33000,0.04944,0.24362,2.26,0.15029,0.46514,0.07059,0.11054,0.1751,0.02964,4.39771,89.8,1,0.43919,1399,1184,0,0,128.5347,338.14515,7.90983,0,15.81966,0
46099,516,101200,0.0728,0.11001,2.46,0.01641,0.48325,0.1466,0.07277,0.34006,0.06478,74.39698,90.5,0.9974,0.54324,2539,2456,188640,63.2,55.90737,274.47886,8.90202,32.77561,5.19284,0.6744
48327,339,28900,0.04661,0.21949,2.34,0.09831,0.43865,0.13083,0.25297,0.15619,0.20349,1.78177,77.9,1,0.43136,3262,3355,5342,71.4,122.88136,614.40678,8.47458,8.47458,38.13559,4.23729
6091,513,128600,0.04135,0.17693,2.32,0.02391,0.47309,0.1217,0.11167,0.20254,0.09809,2.30968,90.6,1,0.56006,8502,8771,12058,66.6,75.94937,689.17018,281.29395,0,56.25879,73.13643
21053,294,50200,0.06311,0.1503,2.34,0.12643,0.47709,0.14088,0.25503,0.19149,0.30749,24.75438,59.8,0.99649,0.43305,1778,1682,11194,47.6,85.11522,1206.1449,8.30392,10.37991,45.67158,0
39063,487,100400,0.06771,0.13217,2.49,0.03488,0.46239,0.12731,0.0726,0.25194,0.06997,56.05533,90.6,0.99888,0.5187,2730,2755,89119,79.8,68.58826,288.94032,9.25731,3.64682,3.3663,2.2442
48189,408,53800,0.0833,0.12876,2.86,0.02249,0.4433,0.15248,0.16778,0.31177,0.07622,13.4634,68.9,0.99936,0.27165,2387,2306,50692,71,60.10601,488.4979,15.29971,4.37135,9.56232,1.63926
1027,272,62200,0.06153,0.1655,2.43,0.03346,0.4564,0.14715,0.16781,0.19858,0.27254,10.92766,70.8,0.99825,0.47839,2599,2399,13961,84.6,94.0087,823.62846,9.12025,0,37.8841,0
48011,436,60500,0.05587,0.19227,2.58,0.13827,0.42716,0.07994,0.10196,0.1837,0.11413,1.00697,90.8,1,0.46089,2057,2111,2863,0,83.79888,311.91806,9.31099,0,9.31099,0
39003,446,81800,0.06691,0.14166,2.52,0.01865,0.46204,0.17875,0.11407,0.25671,0.05117,109.40089,87.5,0.99937,0.46337,3090,3119,178575,96,79.92772,463.98643,10.60172,3.04223,5.25476,2.21253
13189,389,74600,0.07117,0.11907,2.62,0.02647,0.48661,0.26106,0.18285,0.25628,0.28062,34.32267,72,0.99588,0.44463,3574,3082,31987,125.6,83.83967,698.03589,17.89836,17.42735,10.83322,0.47101
55111,508,107500,0.06459,0.14474,2.51,0.06099,0.47317,0.11741,0.07113,0.23789,0.08577,29.00684,88.2,0.99931,0.55457,3492,3749,85752,53.4,70.62019,304.93436,7.06202,4.70801,12.31326,0.36216
5137,349,64200,0.0547,0.18558,2.38,0.06905,0.4376,0.0976,0.1861,0.18233,0.24952,9.42152,71.9,0.99913,0.463,1459,1278,10031,48.4,90.44265,1050.52613,13.04461,1.73928,101.74798,0.86964
41063,451,111300,0.04899,0.18876,2.35,0.10947,0.46002,0.10077,0.13867,0.21872,0.18205,1.23993,92.1,1,0.61791,4237,4352,11275,62.4,83.03349,435.92582,4.15168,2.76778,41.51675,1.38389
42007,438,85000,0.05435,0.18424,2.44,0.00326,0.46826,0.16362,0.0917,0.23415,0.05635,179.09537,89.1,0.99881,0.46572,3314,3410,270610,56.2,90.40196,470.91703,7.00064,5.07133,11.41049,2.09468
28061,315,51200,0.06948,0.13896,2.68,0.04948,0.46002,0.24697,0.22437,0.11641,0.27936,11.34763,76.9,0.99862,0.50747,2002,1962,17666,82.4,87.60813,942.75167,19.28481,25.89674,48.48752,0.551
29083,394,64200,0.05964,0.18289,2.37,0.0611,0.46,0.13659,0.14107,0.2413,0.12952,14.60682,82.6,0.99342,0.5073,3782,3768,25229,73.4,105.92354,674.63745,7.27372,3.18225,12.2744,6.3645
8109,404,73900,0.06794,0.10833,2.56,0.09938,0.44599,0.1626,0.22393,0.22903,0.25105,0.9743,73.1,1,0.46426,2866,2655,9960,46.6,49.01132,731.78976,11.83032,3.38009,69.29187,0
37037,579,127200,0.06274,0.15265,2.47,0.02919,0.46452,0.14197,0.09575,0.21079,0.20161,31.27773,82.5,0.99892,0.66655,1935,1730,51513,59.2,72.97938,406.45462,9.73058,8.31154,32.84072,0.20272
49033,354,84300,0.07241,0.14125,3.01,0.0923,0.37783,0.04598,0.10097,0.04319,0.21013,2.34121,94.1,1,0.513,4254,3685,4454,0,40.79551,290.66803,5.09944,15.29832,0,0
40001,342,45400,0.07525,0.1205,2.76,0.07372,0.44509,0.17334,0.22673,0.23814,0.21622,14.50136,75.4,0.99901,0.318,2202,2256,39481,99,83.65814,789.99905,11.40793,12.83392,45.15638,0.47533
39085,623,127900,0.06112,0.14085,2.5,0.00139,0.47179,0.1435,0.04998,0.21585,0.02491,409.65339,90.1,0.99925,0.53332,3394,3757,420443,54.2,71.16139,333.1707,7.29635,9.71382,5.40633,2.15374
51775,550,104200,0.04898,0.16762,2.32,0,0.50105,0.17512,0.06243,0.30991,0.03759,713.02262,86.3,0.99706,0.50131,2978,2885,30315,100.8,95.76918,472.78458,6.06134,0,3.6368,2.02045
51121,535,114600,0.04759,0.08615,2.4,0.00616,0.45364,0.13775,0.20736,0.42755,0.13161,83.78497,87.9,0.99715,0.48611,1863,2135,94696,49.4,44.12345,467.06286,6.21794,5.50048,7.65285,0.59788
47065,510,94700,0.0599,0.13839,2.41,0.00244,0.47242,0.2007,0.11792,0.31502,0.04467,248.30765,85,0.99904,0.47912,3873,3590,278342,103.2,79.96207,537.12942,12.30935,9.19142,10.39312,1.33162
35035,441,78800,0.07416,0.11712,2.66,0.00851,0.43318,0.16087,0.1884,0.26004,0.28994,4.41742,83.5,0.86902,0.34939,1772,1667,63179,62.6,52.32913,571.44692,9.95217,6.74179,15.4098,1.92623
35003,392,82000,0.04177,0.18826,2.23,0.04883,0.4255,0.11527,0.24273,0.12088,0.32182,0.36779,88.1,0.99857,0.59611,2699,2514,4850,0,56.44934,795.93565,8.4674,0,160.88061,0
1091,305,65900,0.06762,0.14584,2.55,0.01988,0.47052,0.27134,0.25755,0.17972,0.27876,10.36498,79.9,0.99581,0.50894,3394,3503,31518,175.8,88.29141,1017.34771,16.85967,7.54248,53.68472,0
56023,464,95300,0.0678,0.12352,2.75,0.04927,0.42688,0.06839,0.08886,0.14434,0.15693,1.67875,91.2,0.99897,0.58794,4588,4379,27299,64.6,48.03404,241.54258,10.97921,3.431,7.54821,0
29011,354,55800,0.07663,0.16466,2.53,0.12487,0.45715,0.12122,0.12814,0.2396,0.12923,9.10223,86.3,0.99803,0.47428,2412,2560,13851,47,85.32015,448.13013,7.17646,3.98692,10.366,4.78431
48057,440,56400,0.07827,0.13266,2.75,0.01414,0.42378,0.14699,0.16177,0.19779,0.16019,19.98399,74.9,0.99798,0.33317,5043,3908,31241,42.2,58.11982,566.66828,10.17097,27.12258,16.46728,0.48433
51735,697,153400,0.05075,0.11361,2.75,0,0.45159,0.10415,0.04427,0.15419,0.05395,277.06186,92.6,0.97021,0.61084,2490,2439,15603,84.4,60.52222,325.09078,6.05222,4.32302,6.05222,1.72921
54075,355,64000,0.0495,0.17271,2.3,0.04665,0.4328,0.11956,0.16515,0.09955,0.19041,8.07623,77,1,0.39886,2695,2570,11919,94.6,88.70879,879.42175,10.9517,0,84.32811,6.57102
48077,394,48100,0.05824,0.16073,2.52,0.06533,0.45164,0.09965,0.10185,0.14684,0.1843,4.54719,89.3,0.99206,0.4851,3572,3903,19516,85.8,83.59077,531.52826,4.54298,2.72579,7.26876,0
51095,703,167300,0.05632,0.16833,2.47,0.00096,0.46489,0.12145,0.06239,0.21004,0.06802,145.34005,92.3,0.98582,0.80252,2594,1593,0,55.8,55.92283,344.68421,5.82096,8.73145,5.61307,2.4947
31101,404,69300,0.05724,0.18366,2.37,0.06242,0.46866,0.10217,0.09161,0.1939,0.23619,4.87911,84.3,1,0.4471,3089,3062,16004,87.6,90.14085,351.5493,5.6338,13.52113,19.15493,0
31137,378,71400,0.06217,0.18098,2.47,0.06853,0.46187,0.08277,0.08598,0.24409,0.07206,7.76154,90.9,1,0.45891,3033,3098,18641,35.8,98.49184,269.82661,7.1817,9.23361,8.20765,0
22019,465,80500,0.07219,0.11853,2.61,0.00204,0.45267,0.20576,0.15025,0.25669,0.18034,70.9491,81.2,0.99895,0.44739,3210,3117,239034,98.8,68.47263,634.01189,15.96061,13.07353,12.36538,0.05447
22111,351,63900,0.06977,0.1491,2.52,0.03421,0.46399,0.18918,0.18191,0.15295,0.2875,12.38947,80.7,0.9992,0.4766,1903,1909,20880,55,89.46191,697.27667,14.03324,8.77078,28.94356,0
40135,354,59800,0.07085,0.13487,2.61,0.01986,0.4547,0.16043,0.19535,0.21653,0.22143,25.14025,78,0.9977,0.35718,1814,1811,52999,79.4,81.08386,886.27733,8.72421,10.26378,22.06713,3.07913
1049,370,67200,0.06794,0.13781,2.53,0.04262,0.4542,0.13541,0.15191,0.19058,0.25236,36.05944,66.7,0.99867,0.3726,1718,1764,72216,70.8,80.36989,741.9475,11.94688,4.34432,26.53137,0.46546
36101,468,66200,0.06146,0.15164,2.49,0.02369,0.46867,0.15764,0.12982,0.2272,0.1636,33.12557,86.8,0.99924,0.42452,4589,5004,307975,70.2,80.12074,642.99171,8.30582,2.1271,23.49938,0.70903
42053,337,57300,0.03599,0.19915,2.29,0.00506,0.42532,0.1009,0.1575,0.03977,0.19136,20.32374,80.7,0.99696,0.49414,2899,2727,8014,183.4,117.26648,857.25839,8.08734,0,54.58957,0
