,Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,popini,2011,2012,2013,2014,2015,2016,2017,2018,2019,popfin,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery
0,"Autauga, AL",1001,43671,44889,45909,46800,48366,49676,51328,52405,53277,54135,53155,53944,54590,54907,55136.0,55221.0,55049.0,55036.0,55200.0,55380.0,55639.0,58239.0,01001,61.34943,314.9955777858768,0.04673125764274292,-0.22579082873609815,-0.6005185462070718,-0.04752129931101371
1,"Calhoun, AL",1015,112249,111266,111625,112705,113462,114477,115388,116211,117274,118363,117149,117614,117834,117714,117186.0,116648.0,115883.0,115527.0,115098.0,114618.0,114324.0,116425.0,01015,1247.6952299999998,197.599933406465,-0.024114589113009927,-0.013573536289319448,-0.6815245021557599,-0.7540440844273607
2,"Chambers, AL",1017,36583,36274,35965,35680,35463,35279,34945,34847,34563,34384,34579,34375,34228,34145,34091.0,34079.0,34018.0,33895.0,33826.0,33660.0,33427.0,34834.0,01017,72.09545,191.1412532725323,-0.033315017785361056,-0.22386854665866426,-0.6859811543695772,-0.8457969928549246
3,"Colbert, AL",1033,54984,54793,54536,54279,54380,54359,54413,54486,54473,54426,54446,54478,54451,54456,54491.0,54444.0,54377.0,54435.0,54495.0,54771.0,54957.0,56789.0,01033,31.373530000000002,367.50851595640046,0.009385446130110569,-0.23115301262603594,-0.5642832942208095,-0.4199590351927232
4,"Dallas, AL",1047,46365,46132,45377,45170,44795,44434,44323,44194,44265,43759,44066,43868,43572,43091,42743.0,42154.0,41426.0,40755.0,40029.0,39149.0,38184.0,39162.0,01047,8.94115,150.41240547487865,-0.13348159578813598,-0.23516578777703936,-0.7140850867426949,-1.844725976089184
5,"Etowah, AL",1055,103459,102976,102988,103025,103080,103174,103528,103893,104206,104239,104066,104216,104317,104260,104126.0,103766.0,103363.0,103132.0,102939.0,102748.0,102721.0,103468.0,01055,109.40319,268.4940807284528,-0.012924490227355716,-0.21719482001833026,-0.6326057521855787,-0.6424488365411075
6,"Houston, AL",1069,88787,89490,89940,91321,92593,93903,95846,97727,99183,100500,99029,100310,101459,102326,103079.0,103534.0,103891.0,104108.0,104352.0,104702.0,105319.0,106355.0,01069,104.84412,1398.8032257956913,0.06351674761938422,-0.21801036089306958,0.14733607016855305,0.11987497966529952
7,"Jefferson, AL",1073,662047,660197,657518,657513,656023,654919,655893,655163,656510,658441,656912,657486,658464,658552,658834.0,659026.0,659096.0,659460.0,659892.0,659680.0,658615.0,672550.0,01073,1283.7456599999998,520.069725698351,0.002592432471929269,-0.007124721242187214,-0.4590122111140639,-0.48770356996634295
8,"Lee, AL",1081,115092,116819,118392,120071,122274,126133,129247,131934,134524,138566,135010,137855,140938,144405,147790.0,150982.0,153947.0,156597.0,159287.0,161152.0,163461.0,172223.0,01081,34.070280000000004,217.41920524479565,0.21073253833049405,-0.23067060944864382,-0.6678487046425052,1.588010589998344
9,"Macon, AL",1087,24105,23925,23563,23110,22685,22388,22227,21942,21597,21190,21699,21489,21214,20803,20505.0,20018.0,19684.0,19358.0,19054.0,18708.0,18437.0,19490.0,01087,35.900800000000004,132.61698957163622,-0.15032950827227062,-0.23034316023596932,-0.7263643726085974,-2.0127447746042955
