,Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,popini,popfin,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery,Adaptability,adaptier,adaptiernum,Vulnerability,vultier,vultiernum,index
0,"Autauga, AL",1001,43671,44889,45909,46800,48366,49676,51328,52405,53277,54135,53155,53944,54590,54907,55136.0,55221.0,55049.0,55036.0,55200.0,55380.0,55639.0,58239.0,01001,60.4175,663.6377154161378,0.01484338256043646,-0.11627830171758344,0.514526703552025,0.5060711802360396,0.622349481953623,Extremely High,4,-0.6308050052696085,Low,1,16
1,"Baldwin, AL",1003,140415,144875,147957,151509,156266,162183,168121,172404,175827,179406,175791,179523,183226,187114,191205.0,195121.0,199510.0,203360.0,208107.0,212830.0,218289.0,227131.0,01003,1.83804,338.25102131076136,0.02122975578954554,-0.13861980377240632,-0.049433318599961154,0.8071091692047722,0.9457289729771785,Extremely High,4,-0.08918648517244517,Medium,2,15
2,"Barbour, AL",1005,29038,28863,28653,28594,28287,28027,27861,27757,27808,27657,27699,27546,27469,27321,27119.0,26932.0,26614.0,26201.0,25782.0,25361.0,25026.0,25259.0,01005,5.23907,29.7836606692357,-0.005523665114264053,-0.13732269180289491,-0.5840687621876499,-0.45398155286698266,-0.31665886106408775,Low,1,0.446746070384755,Extremely High,4,1
3,"Bibb, AL",1007,20826,21028,21199,21399,21721,22042,22099,22438,22705,22941,22610,22746,22769,22754,22653.0,22604.0,22572.0,22580.0,22527.0,22493.0,22374.0,22412.0,01007,741.21507,336.2822835838642,0.006015037593984963,0.14336970987339778,-0.05284553364189766,0.08992462580211617,-0.05344508407128161,Medium,2,0.19621524351529546,High,3,6
4,"Blount, AL",1009,51024,51845,52551,53457,54124,54624,55485,56240,57055,57341,56692,57140,57466,57623,57645.0,57710.0,57704.0,57667.0,57645.0,57681.0,57755.0,58884.0,01009,501.86896,586.9153494294511,0.007902349537853666,0.05208597990424371,0.3815515450552484,0.17888788738370762,0.1268019074794639,High,3,-0.32946556515100467,Low,1,12
5,"Bullock, AL",1011,11714,11358,11256,11316,11056,11011,10776,11011,10953,10987,10923,10877,10779,10746,10693.0,10678.0,10552.0,10478.0,10352.0,10248.0,10173.0,10386.0,01011,22.63326,11.060146405950368,-0.004211297262656779,-0.13068875677469596,-0.6165203458263644,-0.3921197473222755,-0.26143099054757957,Low,1,0.48583158905166846,Extremely High,4,1
6,"Butler, AL",1013,21399,21139,20803,20833,20870,20830,20815,20894,20949,20867,20895,20860,20730,20624,20523.0,20354.0,20280.0,20126.0,20025.0,19828.0,19726.0,19181.0,01013,14.65352,164.74436324331668,-0.0016750418760469012,-0.13373213371273793,-0.35015495381084727,-0.2725668816024833,-0.1388347478897454,Medium,2,0.21642282009810934,High,3,6
7,"Calhoun, AL",1015,112249,111266,111625,112705,113462,114477,115388,116211,117274,118363,117149,117614,117834,117714,117186.0,116648.0,115883.0,115527.0,115098.0,114618.0,114324.0,116425.0,01015,1247.6952299999998,286.9127951811753,0.00396930404869013,0.3365351561811482,-0.13841270119238122,-0.006506241976550202,-0.3430413981576984,Low,1,0.4749478573735294,Extremely High,4,1
8,"Chambers, AL",1017,36583,36274,35965,35680,35463,35279,34945,34847,34563,34384,34579,34375,34228,34145,34091.0,34079.0,34018.0,33895.0,33826.0,33660.0,33427.0,34834.0,01017,72.09545,347.3424299898146,-0.005899534399491021,-0.11182447192944409,-0.033676094555725386,-0.4716991101848199,-0.3598746382553758,Low,1,-0.0781483773737187,Medium,2,3
9,"Cherokee, AL",1019,23988,24182,24403,24591,24887,25031,25466,25553,25636,25854,25700,25819,25917,26034,26042.0,26008.0,25897.0,25855.0,25853.0,25903.0,26035.0,24975.0,01019,866.93649,232.57404395784016,0.0046303501945525296,0.1913183485816626,-0.23259259206923127,0.024653853938124276,-0.16666449464353833,Medium,2,0.42391094065089385,Extremely High,4,5
10,"Chilton, AL",1021,39593,40197,40683,41079,41534,41946,42318,42881,43239,43484,43121,43444,43611,43744,43781.0,43819.0,43817.0,43805.0,43930.0,44055.0,44147.0,44857.0,01021,5.63769,365.3923731715643,0.007490549848101853,-0.13717066292538233,-0.002391943909648112,0.159476658817267,0.2966473217426493,High,3,-0.1347787190157342,Medium,2,11
11,"Choctaw, AL",1023,15922,15677,15367,15199,14930,14545,14431,14216,14114,13976,14111,13953,13838,13687,13546.0,13395.0,13287.0,13188.0,13075.0,12925.0,12755.0,12792.0,01023,1329.58425,253.73235596332424,-0.011196938558571328,0.3677666442931492,-0.1959210184508979,-0.7214057649001135,-1.0891724091932629,Low,1,0.5636876627440471,Extremely High,4,1
12,"Clarke, AL",1025,27867,27624,27267,27090,26958,26764,26755,26436,26283,26038,26255,26046,25768,25573,25331.0,25070.0,24847.0,24625.0,24387.0,24128.0,23866.0,23346.0,01025,150.35146,380.871872622876,-0.00796038849742906,-0.08197857017109329,0.02443711521173151,-0.5688427237734336,-0.4868641536023403,Low,1,-0.10641568538282481,Medium,2,3
13,"Clay, AL",1027,14254,14298,14257,14203,14121,14077,14053,14085,14161,14006,14040,14010,13828,13703,13617.0,13537.0,13483.0,13407.0,13378.0,13337.0,13285.0,14184.0,01027,6.17546,181.9708641523686,-0.002136752136752137,-0.13696556391012987,-0.32029799281562016,-0.2943307722149841,-0.15736520830485423,Medium,2,0.18333242890549029,Medium,2,7
14,"Cleburne, AL",1029,14123,14222,14416,14438,14339,14368,14538,14799,14874,14918,14823,14881,14905,14945,14990.0,15002.0,14991.0,14939.0,14938.0,14916.0,14952.0,15046.0,01029,1.88572,22.120292811900736,0.003912838156918302,-0.1386016191934093,-0.5973509067401921,-0.009167905787058261,0.12943371340635104,High,3,0.4587492875467828,Extremely High,4,9
15,"Coffee, AL",1031,43615,43716,43930,44315,45053,45604,46228,47458,48516,49440,48349,49221,49966,50468,50726.0,50884.0,50991.0,51073.0,51288.0,51662.0,52238.0,53043.0,01031,1.85663,29.7836606692357,0.018035533309892656,-0.138612713769815,-0.5840687621876499,0.6565413465772859,0.7951540603471009,Extremely High,4,0.4454560484178349,Extremely High,4,13
16,"Colbert, AL",1033,54984,54793,54536,54279,54380,54359,54413,54486,54473,54426,54446,54478,54451,54456,54491.0,54444.0,54377.0,54435.0,54495.0,54771.0,54957.0,56789.0,01033,21.48106,139.5939379010667,0.0005877383095176873,-0.1311281920079256,-0.3937456558588964,-0.1659049669126513,-0.034776774904725694,Medium,2,0.26261746385097084,High,3,6
17,"Conecuh, AL",1035,14089,13940,13793,13585,13430,13421,13603,13441,13388,13274,13382,13286,13188,13104,12985.0,12865.0,12697.0,12649.0,12514.0,12394.0,12219.0,11778.0,01035,55.89996,157.08099538598174,-0.007173815573157973,-0.11800123718323548,-0.36343709836338944,-0.5317656030344604,-0.41376436585122495,Low,1,0.24543586118015398,High,3,2
18,"Coosa, AL",1037,12202,11848,11740,11732,11560,11467,11451,11439,11493,11410,11470,11303,11305,11198,11247.0,11027.0,10864.0,10955.0,10855.0,10757.0,10696.0,10442.0,01037,19.32225,346.0416563141497,-0.014559721011333914,-0.13195153619803887,-0.035930594706567856,-0.8799190917293089,-0.74796755553127,Low,1,-0.09602094149147102,Medium,2,3
19,"Covington, AL",1039,37631,37069,36901,36860,36806,37204,37441,37631,37545,37648,37608,37736,37803,37847,37881.0,37886.0,37729.0,37519.0,37351.0,37200.0,37096.0,37490.0,01039,47.9783,179.20128819788246,0.0034035311635822164,-0.12102246310726428,-0.32509822019104495,-0.03317538977543076,0.08784707333183352,High,3,0.20407575708378067,High,3,10
20,"Crenshaw, AL",1041,13665,13724,13635,13652,13727,13699,13880,13956,13922,14024,13928,13938,13971,13955,13938.0,13938.0,13896.0,13866.0,13865.0,13844.0,13826.0,13300.0,01041,1.00498,16.59021960892555,0.0007179781734635267,-0.13893752284495822,-0.6069356262832782,-0.15976577878203743,-0.02082825593707921,Medium,2,0.46799810343832005,Extremely High,4,5
21,"Cullman, AL",1043,77483,77415,77443,77657,78131,78692,79044,79576,80273,80351,79941,80246,80403,80499,80668.0,80965.0,81316.0,81703.0,82313.0,82853.0,83345.0,87129.0,01043,297.52172,415.714999656322,0.0038153137939230183,-0.025849601652113814,0.08482720199033521,-0.013764965347833816,0.012084636304279998,Medium,2,-0.11067680364244903,Medium,2,7
22,"Dale, AL",1045,49129,49254,49373,49215,49245,49050,49077,49488,49871,49854,49730,49920,50129,50102,50013.0,49866.0,49607.0,49393.0,49255.0,49277.0,49293.0,49443.0,01045,2.54187,69.95183460938033,0.0038206314096119044,-0.1383513714688097,-0.5144493073191219,-0.01351430597111678,0.12483706549769291,High,3,0.37609793585031215,High,3,10
23,"Dallas, AL",1047,46365,46132,45377,45170,44795,44434,44323,44194,44265,43759,44066,43868,43572,43091,42743.0,42154.0,41426.0,40755.0,40029.0,39149.0,38184.0,39162.0,01047,8.67465,357.10180272010007,-0.0044932601098352475,-0.13601240287859437,-0.016761155620395582,-0.4054107851982978,-0.2693983823197035,Low,1,-0.11925124725819879,Medium,2,3
