,Areaname,STCOU,popini,2001,2002,2003,2004,2005,2006,2007,2008,2009,popfin,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery
0,"Autauga, AL",1001,43671,44889,45909,46800,48366,49676,51328,52405,53277,54135,53155,53944,54590,54907,55136.0,55221.0,55049.0,55036.0,55200.0,55380.0,55639.0,58239.0,01001,546.69091,8698.245648732782,0.21716928854388495,-0.1318404711486561,1.459288632487806,1.500919554047504
1,"Baldwin, AL",1003,140415,144875,147957,151509,156266,162183,168121,172404,175827,179406,175791,179523,183226,187114,191205.0,195121.0,199510.0,203360.0,208107.0,212830.0,218289.0,227131.0,01003,136.94264,8669.020558617161,0.2519388954171563,-0.16260316799520297,1.4518220358726872,1.8010331555895531
2,"Barbour, AL",1005,29038,28863,28653,28594,28287,28027,27861,27757,27808,27657,27699,27546,27469,27321,27119.0,26932.0,26614.0,26201.0,25782.0,25361.0,25026.0,25259.0,01005,76.73594,7784.500096382264,-0.04611199118396584,-0.16712331022846,1.2258395850676296,-0.7715908417621798
3,"Bibb, AL",1007,20826,21028,21199,21399,21721,22042,22099,22438,22705,22941,22610,22746,22769,22754,22653.0,22604.0,22572.0,22580.0,22527.0,22493.0,22374.0,22412.0,01007,95.42183,6228.670259878721,0.08566215307788341,-0.1657204284801663,0.8283470967645914,0.3658166983543145
4,"Blount, AL",1009,51024,51845,52551,53457,54124,54624,55485,56240,57055,57341,56692,57140,57466,57623,57645.0,57710.0,57704.0,57667.0,57645.0,57681.0,57755.0,58884.0,01009,140.58772,9719.85494647286,0.11108497961743494,-0.16232950609292965,1.7202953392011968,0.5852536353887924
5,"Bullock, AL",1011,11714,11358,11256,11316,11056,11011,10776,11011,10953,10987,10923,10877,10779,10746,10693.0,10678.0,10552.0,10478.0,10352.0,10248.0,10173.0,10386.0,01011,403.73858,7430.301943636648,-0.06752603722042001,-0.14257291229184268,1.1353469734825488,-0.9564260198822954
6,"Butler, AL",1013,21399,21139,20803,20833,20870,20830,20815,20894,20949,20867,20895,20860,20730,20624,20523.0,20354.0,20280.0,20126.0,20025.0,19828.0,19726.0,19181.0,01013,89.42732,1470.9965770241006,-0.023552502453385672,-0.16617047868751336,-0.3871711471725275,-0.5768687835991829
7,"Calhoun, AL",1015,112249,111266,111625,112705,113462,114477,115388,116211,117274,118363,117149,117614,117834,117714,117186.0,116648.0,115883.0,115527.0,115098.0,114618.0,114324.0,116425.0,01015,57.1847,9295.372163163109,0.04365295013764042,-0.16859115991357054,1.6118459999349048,0.003214577534851735
8,"Chambers, AL",1017,36583,36274,35965,35680,35463,35279,34945,34847,34563,34384,34579,34375,34228,34145,34091.0,34079.0,34018.0,33895.0,33826.0,33660.0,33427.0,34834.0,01017,144.13535000000002,5897.090486290764,-0.05477954241040921,-0.16206316045048505,0.7436331607144682,-0.8464047453130363
9,"Cherokee, AL",1019,23988,24182,24403,24591,24887,25031,25466,25553,25636,25854,25700,25819,25917,26034,26042.0,26008.0,25897.0,25855.0,25853.0,25903.0,26035.0,24975.0,01019,197.11622,6789.375173701607,0.07136901784225447,-0.15808551231428594,0.9715992610887277,0.24244560852500416
10,"Chilton, AL",1021,39593,40197,40683,41079,41534,41946,42318,42881,43239,43484,43121,43444,43611,43744,43781.0,43819.0,43817.0,43805.0,43930.0,44055.0,44147.0,44857.0,01021,82.59253,7900.050527286035,0.08910666026822923,-0.16668361464969766,1.2553610836446516,0.3955479363921781
11,"Choctaw, AL",1023,15922,15677,15367,15199,14930,14545,14431,14216,14114,13976,14111,13953,13838,13687,13546.0,13395.0,13287.0,13188.0,13075.0,12925.0,12755.0,12792.0,01023,88.73916,1256.3819459831893,-0.11374199221203367,-0.16622214371946556,-0.44200214585706515,-1.3553386895536
12,"Clarke, AL",1025,27867,27624,27267,27090,26958,26764,26755,26436,26283,26038,26255,26046,25768,25573,25331.0,25070.0,24847.0,24625.0,24387.0,24128.0,23866.0,23346.0,01025,74.45218,1455.0856275496578,-0.057846198011985504,-0.16729476822277997,-0.3912361694194805,-0.8728745601899387
13,"Clay, AL",1027,14254,14298,14257,14203,14121,14077,14053,14085,14161,14006,14040,14010,13828,13703,13617.0,13537.0,13483.0,13407.0,13378.0,13337.0,13285.0,14184.0,01027,213.01193999999998,6620.047480756984,-0.01501332959169356,-0.1568921083359907,0.9283384336974556,-0.503162976943008
14,"Cleburne, AL",1029,14123,14222,14416,14438,14339,14368,14538,14799,14874,14918,14823,14881,14905,14945,14990.0,15002.0,14991.0,14939.0,14938.0,14916.0,14952.0,15046.0,01029,319.45984,8196.66123519151,0.04956454011187425,-0.14890031259844788,1.3311409186731624,0.054240422160407024
15,"Coffee, AL",1031,43615,43716,43930,44315,45053,45604,46228,47458,48516,49440,48349,49221,49966,50468,50726.0,50884.0,50991.0,51073.0,51288.0,51662.0,52238.0,53043.0,01031,6971.884529999999,8689.303110767372,0.10854063968818067,0.3505441976442768,1.4570039406891173,0.5632921843289952
16,"Colbert, AL",1033,54984,54793,54536,54279,54380,54359,54413,54486,54473,54426,54446,54478,54451,54456,54491.0,54444.0,54377.0,54435.0,54495.0,54771.0,54957.0,56789.0,01033,214.82969,1817.0499291020278,-0.009784664629710461,-0.15675563700398773,-0.29875941680477053,-0.45803179445029585
17,"Conecuh, AL",1035,14089,13940,13793,13585,13430,13421,13603,13441,13388,13274,13382,13286,13188,13104,12985.0,12865.0,12697.0,12649.0,12514.0,12394.0,12219.0,11778.0,01035,264.17465,1104.2388571630747,-0.050180992263467956,-0.15305096231339055,-0.48087255027682235,-0.8067123941311432
18,"Coosa, AL",1037,12202,11848,11740,11732,11560,11467,11451,11439,11493,11410,11470,11303,11305,11198,11247.0,11027.0,10864.0,10955.0,10855.0,10757.0,10696.0,10442.0,01037,69.77279,5086.453698019299,-0.059990165546631696,-0.1676460830825029,0.5365269422065718,-0.8913801999217048
19,"Covington, AL",1039,37631,37069,36901,36860,36806,37204,37441,37631,37545,37648,37608,37736,37803,37847,37881.0,37886.0,37729.0,37519.0,37351.0,37200.0,37096.0,37490.0,01039,131.7503,1291.8788544160407,-0.000611198214238261,-0.1629929936345991,-0.43293318848846984,-0.37885108773115295
20,"Crenshaw, AL",1041,13665,13724,13635,13652,13727,13699,13880,13956,13922,14024,13928,13938,13971,13955,13938.0,13938.0,13896.0,13866.0,13865.0,13844.0,13826.0,13300.0,01041,91.84877999999999,885.7203951924145,0.019246249542627148,-0.16598868258156266,-0.536700922474692,-0.20745167601312067
21,"Cullman, AL",1043,77483,77415,77443,77657,78131,78692,79044,79576,80273,80351,79941,80246,80403,80499,80668.0,80965.0,81316.0,81703.0,82313.0,82853.0,83345.0,87129.0,01043,154.67793,1885.3992487737494,0.03172308764503182,-0.16127165450338132,-0.28129713364712877,-0.09975794129769487
22,"Dale, AL",1045,49129,49254,49373,49215,49245,49050,49077,49488,49871,49854,49730,49920,50129,50102,50013.0,49866.0,49607.0,49393.0,49255.0,49277.0,49293.0,49443.0,01045,325.30622999999997,7653.206842353581,0.01223310061267276,-0.14846138280573226,1.1922960181448174,-0.2679856185218975
