Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Autauga, AL",1001,43671,44889,45909,46800,48366,49676,51328,52405,53277,54135,53155,53944,54590,54907,55136,55221,55049,55036,55200,55380,55639,58239
"Baldwin, AL",1003,140415,144875,147957,151509,156266,162183,168121,172404,175827,179406,175791,179523,183226,187114,191205,195121,199510,203360,208107,212830,218289,227131
"Barbour, AL",1005,29038,28863,28653,28594,28287,28027,27861,27757,27808,27657,27699,27546,27469,27321,27119,26932,26614,26201,25782,25361,25026,25259
"Bibb, AL",1007,20826,21028,21199,21399,21721,22042,22099,22438,22705,22941,22610,22746,22769,22754,22653,22604,22572,22580,22527,22493,22374,22412
"Blount, AL",1009,51024,51845,52551,53457,54124,54624,55485,56240,57055,57341,56692,57140,57466,57623,57645,57710,57704,57667,57645,57681,57755,58884
"Bullock, AL",1011,11714,11358,11256,11316,11056,11011,10776,11011,10953,10987,10923,10877,10779,10746,10693,10678,10552,10478,10352,10248,10173,10386
"Butler, AL",1013,21399,21139,20803,20833,20870,20830,20815,20894,20949,20867,20895,20860,20730,20624,20523,20354,20280,20126,20025,19828,19726,19181
"Calhoun, AL",1015,112249,111266,111625,112705,113462,114477,115388,116211,117274,118363,117149,117614,117834,117714,117186,116648,115883,115527,115098,114618,114324,116425
"Chambers, AL",1017,36583,36274,35965,35680,35463,35279,34945,34847,34563,34384,34579,34375,34228,34145,34091,34079,34018,33895,33826,33660,33427,34834
"Cherokee, AL",1019,23988,24182,24403,24591,24887,25031,25466,25553,25636,25854,25700,25819,25917,26034,26042,26008,25897,25855,25853,25903,26035,24975
"Chilton, AL",1021,39593,40197,40683,41079,41534,41946,42318,42881,43239,43484,43121,43444,43611,43744,43781,43819,43817,43805,43930,44055,44147,44857
"Choctaw, AL",1023,15922,15677,15367,15199,14930,14545,14431,14216,14114,13976,14111,13953,13838,13687,13546,13395,13287,13188,13075,12925,12755,12792
"Clarke, AL",1025,27867,27624,27267,27090,26958,26764,26755,26436,26283,26038,26255,26046,25768,25573,25331,25070,24847,24625,24387,24128,23866,23346
"Clay, AL",1027,14254,14298,14257,14203,14121,14077,14053,14085,14161,14006,14040,14010,13828,13703,13617,13537,13483,13407,13378,13337,13285,14184
"Cleburne, AL",1029,14123,14222,14416,14438,14339,14368,14538,14799,14874,14918,14823,14881,14905,14945,14990,15002,14991,14939,14938,14916,14952,15046
"Coffee, AL",1031,43615,43716,43930,44315,45053,45604,46228,47458,48516,49440,48349,49221,49966,50468,50726,50884,50991,51073,51288,51662,52238,53043
"Colbert, AL",1033,54984,54793,54536,54279,54380,54359,54413,54486,54473,54426,54446,54478,54451,54456,54491,54444,54377,54435,54495,54771,54957,56789
"Conecuh, AL",1035,14089,13940,13793,13585,13430,13421,13603,13441,13388,13274,13382,13286,13188,13104,12985,12865,12697,12649,12514,12394,12219,11778
