Label,State,State Abbrv,Total:,Urban:,Inside urbanized areas,Inside urban clusters,Rural:,Farm,Nonfarm,% Rural,Class,StateFIPS,FIPScounty
Abbeville County,South Carolina,SC,26167,6130,0,6130,20037,723,19314,76.57354683,MR,45,45001
Acadia Parish,Louisiana,LA,58861,29719,312,29407,29142,859,28283,49.50986222,MU,22,22001
Accomack County,Virginia,VA,38305,3822,0,3822,34483,718,33765,90.02219031,MR,51,51001
Ada County,Idaho,ID,300904,280506,272073,8433,20398,2203,18195,6.778906229,MU,16,16001
Adair County,Iowa,IA,8243,0,0,0,8243,1341,6902,100,CR,19,19001
Adair County,Kentucky,KY,17244,4374,0,4374,12870,1674,11196,74.63465553,MR,21,21001
Adair County,Missouri,MO,24977,16498,0,16498,8479,1062,7417,33.94723145,MU,29,29001
Adair County,Oklahoma,OK,21038,3294,0,3294,17744,1551,16193,84.34261812,MR,40,40001
Adams County,Colorado,CO,363857,349607,328426,21181,14250,800,13450,3.91637374,MU,8,8001
Adams County,Idaho,ID,3476,0,0,0,3476,362,3114,100,CR,16,16003
Adams County,Illinois,IL,68277,45235,0,45235,23042,2290,20752,33.74782137,MU,17,17001
Adams County,Indiana,IN,33625,14635,0,14635,18990,3316,15674,56.47583643,MR,18,18001
Adams County,Iowa,IA,4482,0,0,0,4482,948,3534,100,CR,19,19003
Adams County,Mississippi,MS,34340,23557,0,23557,10783,237,10546,31.40069889,MU,28,28001
Adams County,Nebraska,NE,31151,24131,0,24131,7020,880,6140,22.53539212,MU,31,31001
Adams County,North Dakota,ND,2593,0,0,0,2593,480,2113,100,CR,38,38001
Adams County,Ohio,OH,27330,2672,0,2672,24658,2206,22452,90.22319795,MR,39,39001
Adams County,Pennsylvania,PA,91292,36693,0,36693,54599,2098,52501,59.80699295,MR,42,42001
Adams County,Washington,WA,16428,7686,0,7686,8742,868,7874,53.21402484,MR,53,53001
Adams County,Wisconsin,WI,18643,0,0,0,18643,700,17943,100,CR,55,55001
Addison County,Vermont,VT,35974,7407,0,7407,28567,1429,27138,79.41012954,MR,50,50001
Aiken County,South Carolina,SC,142552,86786,84289,2497,55766,1003,54763,39.11975981,MU,45,45003
Aitkin County,Minnesota,MN,15301,0,0,0,15301,719,14582,100,CR,27,27001
Alachua County,Florida,FL,217955,162079,159285,2794,55876,2089,53787,25.6364846,MU,12,12001
Alamance County,North Carolina,NC,130800,90615,90615,0,40185,1025,39160,30.72247706,MU,37,37001
Alameda County,California,CA,1443741,1435570,1435570,0,8171,222,7949,0.565960238,MU,6,6001
Alamosa County,Colorado,CO,14966,9069,0,9069,5897,623,5274,39.402646,MU,8,8003
Albany County,New York,NY,294565,265780,261067,4713,28785,585,28200,9.772036732,MU,36,36001
Albany County,Wyoming,WY,32014,28246,0,28246,3768,455,3313,11.76985069,MU,56,56001
Albemarle County,Virginia,VA,79236,40934,36232,4702,38302,922,37380,48.33913878,MU,51,51003
Alcona County,Michigan,MI,11719,181,0,181,11538,221,11317,98.45549962,MR,26,26001
Alcorn County,Mississippi,MS,34558,11796,0,11796,22762,441,22321,65.86608021,MR,28,28003
Aleutians East Borough,Alaska,AK,2697,0,0,0,2697,0,2697,100,CR,2,2013
Aleutians West Census Area,Alaska,AK,5465,2890,0,2890,2575,11,2564,47.11802379,MU,2,2016
Alexander County,Illinois,IL,9590,3969,0,3969,5621,157,5464,58.61313869,MR,17,17003
Alexander County,North Carolina,NC,33603,5792,2474,3318,27811,851,26960,82.76344374,MR,37,37003
Alexandria city,Virginia,VA,128283,128283,128283,0,0,0,0,0,MU,51,51510
Alfalfa County,Oklahoma,OK,6105,0,0,0,6105,614,5491,100,CR,40,40003
Alger County,Michigan,MI,9862,0,0,0,9862,103,9759,100,CR,26,26003
Allamakee County,Iowa,IA,14675,4132,0,4132,10543,2021,8522,71.84327087,MR,19,19005
Allegan County,Michigan,MI,105665,31392,9879,21513,74273,2882,71391,70.29101405,MR,26,26005
Allegany County,Maryland,MD,74930,55685,0,55685,19245,274,18971,25.68397171,MU,24,24001
Allegany County,New York,NY,49927,10301,0,10301,39626,1212,38414,79.3678771,MR,36,36003
Alleghany County,North Carolina,NC,10677,0,0,0,10677,640,10037,100,CR,37,37005
Alleghany County,Virginia,VA,12926,3548,0,3548,9378,204,9174,72.5514467,MR,51,51005
Allegheny County,Pennsylvania,PA,1281666,1246898,1246898,0,34768,190,34578,2.712719226,MU,42,42003
Allen County,Indiana,IN,331849,287516,287516,0,44333,3492,40841,13.35938936,MU,18,18003
Allen County,Kansas,KS,14385,6343,0,6343,8042,906,7136,55.90545707,MR,20,20001
Allen County,Kentucky,KY,17800,4018,0,4018,13782,1711,12071,77.42696629,MR,21,21003
Allen County,Ohio,OH,108473,79600,71970,7630,28873,2023,26850,26.61768366,MU,39,39003
Allen Parish,Louisiana,LA,25440,8121,0,8121,17319,337,16982,68.07783019,MR,22,22003
Allendale County,South Carolina,SC,11211,6616,0,6616,4595,124,4471,40.98653109,MU,45,45005
Alpena County,Michigan,MI,31314,15211,0,15211,16103,742,15361,51.42428307,MR,26,26007
Alpine County,California,CA,1208,0,0,0,1208,3,1205,100,CR,6,6003
Amador County,California,CA,35100,13825,0,13825,21275,521,20754,60.61253561,MR,6,6005
Amelia County,Virginia,VA,11400,0,0,0,11400,564,10836,100,CR,51,51007
