Areaname,STCOU,Median Rent,Owner Occupied Housing Units,Percent under 5 years old,Percent over 65 years old,Average People Per Household,Emergency Services Personnel,Rural Farm Population,Female Workforce Percentage,Percent below Poverty,Percent of Renter Occupied Housing,Percent Mobile Homes,Housing Units per sq mile,Percent population with no High School Diploma,PercentEmployedLaborForce,Living Alone,Household with no fuel,Households with atleast 1 vehicle,Household with no plumbing,Median Household Income,General Medical And Surgical Hospitals,Geographical Mobility Same House 1 Year Ago
"Autauga, AL",1001,671,14903,7.071197753826993,10.00112954501318,2.73274479177306,839,148,51.00974558458744,9.255589340913826,19.57043295025615,23.55077793516131,33.5994116255364,17.16418779669927,75.05027746363808,4008,66,17041,123,58207,1,41248
"Baldwin, AL",1003,743,50686,6.435747840699696,15.24194441607925,2.424865971777719,1820,485,50.27171351341757,11.36875169379069,19.82350969136687,15.85600855512196,55.85142749924451,14.75667595646613,69.22048132236537,11984,78,60268,366,52084,3,116600
"Barbour, AL",1005,465,7218,6.558598378064319,12.43621032091457,2.481777487239432,332,71,46.79773491519638,24.86137256820352,29.2189271560833,29.30517731293713,13.41353391563351,30.78346054032696,60.14512647706139,2524,21,8572,137,37176,1,21677
"Bibb, AL",1007,440,6591,6.832523582700912,10.93244386551183,2.971016879747989,174,36,46.08759310379004,13.36744527542742,13.15034112127715,31.86482563503599,13.89544708169268,31.58298636760158,73.99702968286888,1705,13,6979,33,49282,1,19282
"Blount, AL",1009,514,17136,6.654977144537582,12.50281592107039,2.680725809584145,579,311,49.12529951047779,11.01800545929189,15.6359435551799,22.3440237806273,35.18530458788217,29.04292800803038,73.4780951844037,4340,82,19241,85,49640,1,43142
"Bullock, AL",1011,288,3016,5.786045240749269,11.1879949546659,2.833541654546047,277,208,47.15493003271106,26.06935427352638,20.5559813838161,25.18854710115866,7.335457256485713,24.64462430576305,63.84665008949913,1117,11,3157,6,32313,1,8917
"Butler, AL",1013,417,5942,6.557936842631066,15.57354131806673,2.560614874967421,266,160,52.80126192173353,25.02056491821932,29.4998175328769,20.06600427788543,12.84324455742092,29.17865583443222,63.98908728332983,2493,9,7197,165,33046,1,18261
"Calhoun, AL",1015,507,33369,6.459606837525008,13.13665170287394,2.435095893548288,955,129,51.0423945175695,18.49579279930918,27.93229106407741,15.96395029222253,85.94306751275475,24.54257404192461,66.27076531594544,12731,99,41682,149,44047,3,90606
"Chambers, AL",1017,495,10184,6.155324068564994,15.15025090349307,2.551724575258382,154,2,52.43028713503445,19.42682025096558,25.2851824442684,19.10353770477218,27.62833616512171,34.12949688688813,67.74149738896028,3671,36,12082,217,33524,1,28029
"Cherokee, AL",1019,420,8726,5.684788905216824,15.73181137046046,2.221139098163987,367,117,49.64923656223732,17.13058418650386,22.77801093273109,35.93827863677081,25.77684070631888,32.19092003757687,69.78333892298909,2532,40,10536,96,44106,1,20535
"Chilton, AL",1021,497,12272,7.164236530512384,12.07087597263565,2.567974555286805,705,140,48.66727446176465,17.24502478995189,23.75314136635407,30.70527138647496,26.70770273861336,28.91700144108913,70.79009111482426,3355,27,15166,198,43927,1,34572
"Choctaw, AL",1023,544,4748,6.396081893946466,15.09357694087351,2.721060019572045,116,155,51.12053729733813,18.50225403893337,11.55026086724599,26.04958108093925,8.15720391815616,33.08241091160592,56.05130633366097,1454,3,4900,94,31944,1,12789
"Clarke, AL",1025,394,7939,6.533168434300666,13.53236759616386,2.956193942289766,461,146,51.4579629916902,29.25241120102877,12.55402565366123,26.31861510179184,10.07413363136767,27.55024994489985,53.53651817564027,2677,54,8074,184,37431,1,24088
"Clay, AL",1027,339,4482,6.020222134510584,16.92766045171417,2.192025339208666,145,182,49.663973642211,18.95882078866398,25.93194414004971,27.99400352799041,11.1976771287791,30.91214019892986,68.28674288096319,1295,0,5463,35,39029,1,11373
"Cleburne, AL",1029,532,3994,6.413905762795699,13.99302579483032,2.734862846020128,176,112,48.14165710896183,15.55118580043614,23.78374496799804,29.72575932016778,11.66856563728838,33.27085533411052,66.41369012275582,1023,0,4757,10,35856,0,11878
"Coffee, AL",1031,496,13301,6.839715998253792,13.90525962824269,2.461450056289505,256,447,50.08877160693379,16.55932995240166,28.11363698270809,17.16413775450713,31.1810977413764,24.9162958225197,67.13698080926532,4323,51,16234,146,46868,3,34712
"Colbert, AL",1033,514,16675,5.724520532258595,16.09030474146508,2.400598507647572,676,214,51.40079512799304,14.29797534588438,25.10481083372528,11.56531207633521,41.0435483834906,23.13646066164502,67.05185921820699,5757,7,20248,131,45082,1,42586
"Conecuh, AL",1035,473,4150,6.125165383858336,15.5025924753912,2.780496098822698,115,96,51.94785089917925,28.39867225473603,16.31317538193729,21.47103946360789,8.319506831724492,32.3047384590401,60.62254773527852,1527,15,4274,150,39140,1,12313
"Coosa, AL",1037,397,4068,5.616551904528897,14.88288752251717,2.407190723066977,84,64,50.73441384730725,15.68161134210554,13.92116069350056,29.92182457979477,9.533411389271118,29.21394198158786,64.02058358503274,1025,5,4404,66,46081,0,9874
"Covington, AL",1039,437,10931,6.34867745665627,17.10052789776494,2.542214000547662,429,477,51.07777542360228,19.2104877361709,25.7337465505665,16.57320700264629,17.97228086878653,27.92033178370997,67.35658667371565,3831,97,12818,297,36374,2,31335
"Crenshaw, AL",1041,423,3950,5.997983081078657,15.8117441674416,2.383215786474901,232,214,51.06753902215805,19.01158570957327,31.71931350671133,26.99689043054392,11.00216778815491,31.42462383890788,68.87507254787143,1649,25,5183,35,41838,1,11489
"Cullman, AL",1043,502,23571,6.374851299975242,14.25866493779674,2.470530685720864,837,440,49.37183930499027,15.68922095199792,24.89563486691802,19.55389195534172,48.42838309621091,27.64367212447653,70.44350249528883,6834,55,28637,202,43382,1,60291
"Dale, AL",1045,547,12260,7.99968644363974,11.95258391860478,2.456359062386711,630,187,49.39193532819271,11.98587763007302,38.09234387358536,20.81870399268156,39.54660883071767,20.42705530855891,71.31606073290135,4848,48,17755,255,44519,2,33944
"Dallas, AL",1047,478,11105,7.714220374201624,12.77163298111475,2.644662822511339,633,179,54.02929734479887,30.69802706913578,35.0502452384581,20.4970354669064,20.4096549686696,26.07940964660438,63.2384859098113,5370,7,13761,281,33759,1,36475
"DeKalb, AL",1049,458,20848,7.928473061024715,12.75000526458108,2.53836469750881,368,565,50.19632039619144,18.61604750917973,19.4424058612142,24.00069506155399,38.49353034880536,35.55441395075103,69.10445493470453,5486,11,23745,250,37181,1,56586
"Elmore, AL",1051,592,21233,6.475512835408472,10.11970491294239,2.534900769685032,912,110,49.43910893379336,11.14008601492368,19.75057547865173,20.4176168856221,46.2319835168662,19.0245020381474,68.80755478703217,4864,20,24893,186,56979,2,57190
"Escambia, AL",1053,502,10604,6.412235767901826,13.5392379564222,2.460031355636047,471,195,48.07813916521815,22.72488640860973,24.2912676237449,23.59931513274445,17.42868476385109,32.14639601500144,60.57514421283843,3469,24,12475,178,38801,0,30724
"Etowah, AL",1055,536,31321,6.300678219266834,14.8173249715349,2.393905340777517,1236,205,51.21552644409736,15.52744851446995,25.40117291636484,12.26238295027224,86.15634124230333,21.12910657295075,64.6342918289635,11044,94,38443,310,37476,1,81157
"Fayette, AL",1057,396,5489,5.673181305081272,16.75986302556479,2.401324422736252,143,137,50.10954738679424,17.25259930462002,23.3344922888729,20.26878189491844,13.41145182690217,29.2946754252288,62.01202012143156,1902,7,6561,20,37946,1,14759
"Franklin, AL",1059,425,8982,7.040724457714473,14.2825191775981,2.411927724524752,277,227,48.66639309898541,16.85615319747203,28.99611393522822,16.79773366358753,21.62443073029315,35.02194019758509,70.20845849898649,2907,0,11364,41,40889,2,24513
"Geneva, AL",1061,464,7743,5.836739616326862,16.2114812593214,2.418247300367771,255,199,51.01035440876919,13.51703896217068,27.87663781036409,21.45597730899025,21.57424882756481,32.26816736295203,66.44262551022476,2970,10,10075,120,34090,1,20625
"Greene, AL",1063,427,2730,6.651736202705314,13.88789647211913,2.514636155511697,212,69,53.52955858557031,26.92437180264396,27.41292750586569,24.13862530893828,7.58529089114545,30.4378661135618,63.2643470619724,1231,11,3193,117,36341,1,7811
"Hale, AL",1065,419,4538,6.255042824826121,12.4841431256403,2.824705751326282,274,191,51.12500090444133,23.86956247571481,24.10722367312882,32.61046614059295,11.75044976450912,37.26716556097874,68.70718767549393,1710,6,5068,234,32390,1,13749
"Henry, AL",1067,424,5393,5.71259937576274,15.57618029001424,2.567418976454203,175,206,52.31532838953944,16.24374865398222,17.45603643920434,22.93974854608801,15.03388996269838,27.93659829998147,68.06030375352609,1550,49,5893,16,38717,0,14910
"Houston, AL",1069,519,25604,6.974504375947805,12.63730563878255,2.52301086332061,1182,190,51.54840021658919,15.40457755136164,30.74619577182763,15.79585394733972,73.83528031307254,20.80706496821082,70.14507230165943,9061,148,33163,273,47002,2,74421
"Jackson, AL",1071,421,16871,6.188757062770916,13.72455774893864,2.452511533235784,539,149,49.78888650269065,15.31497259708959,21.28729946619089,25.02937202145541,21.96060801729543,29.86392917841856,66.50963353113433,5388,46,19641,117,42958,3,44040
"Jefferson, AL",1073,671,178138,6.632109923339445,12.68699185756998,2.468409400211664,8928,217,52.50273118385127,13.64787962802017,31.35758675346731,3.77599852291791,263.1571166011421,15.89757517443008,71.4061937300489,71273,357,226066,719,51112,13,504537
"Lamar, AL",1075,368,4527,6.460929908391565,16.41208290656964,2.504409781516938,94,101,50.91705501660979,15.20478921726604,24.60282833751651,18.64419234272478,12.25513277476424,28.78245836888847,63.78330728684764,1401,7,5485,36,39586,0,12800
"Lauderdale, AL",1077,498,27718,5.782457374889596,15.18572300985309,2.396689830103364,900,250,51.08510742025223,16.55251515304293,25.09366483436061,9.634958780799396,59.32249608304995,19.72258669520281,66.47847207965427,9724,6,33700,310,44816,1,72632
