Areaname,STCOU,Median Rent,Owner Occupied Housing Units,Percent under 5 years old,Percent over 65 years old,Average People Per Household,Emergency Services Personnel,Rural Farm Population,Female Workforce Percentage,Percent below Poverty,Percent of Renter Occupied Housing,Percent Mobile Homes,Housing Units per sq mile,Percent population with no High School Diploma,PercentEmployedLaborForce,Living Alone,Household with no fuel,Households with atleast 1 vehicle,Household with no plumbing,Median Household Income,General Medical And Surgical Hospitals,Geographical Mobility Same House 1 Year Ago
"Autauga, AL",1001,510,12868,7.067436833196132,9.67216013738556,2.732509353392813,425,219,45.24736142417879,10.2628287783169,18.32809623947741,26.4763544472426,29.26737431140392,21.91608422800223,96.54976924527043,2278,60,12272,181,40789,1,22350
"Baldwin, AL",1003,543,42491,6.229485357092233,14.93774251884511,2.475143522502959,872,538,45.904101278905,10.24338864952018,19.96131986933363,17.90535779804645,45.45659454836812,18.51387839042432,96.5861279838924,7748,79,41361,611,38183,3,64447
"Barbour, AL",1005,333,7703,6.33050393105412,12.64583473888836,2.544312317786803,160,167,47.10482049141608,23.60220861913577,25.57320906902375,28.98262428103099,14.05901651588803,35.43335837569169,95.34574437120145,1685,21,7234,196,25082,1,16805
"Bibb, AL",1007,326,6035,7.08298893002198,11.02291416905521,2.647426216355533,51,72,43.39482836180118,19.64617704103387,18.23740490850788,33.64079810828406,13.35285111506551,38.15797363191389,95.56728161550981,1081,11,5584,134,30011,1,12696
"Blount, AL",1009,372,16172,6.970854122317432,12.21461396978608,2.608193915608368,313,589,42.79258021252307,11.42887684901393,15.99193037599264,27.87207814219798,32.66088632740045,30.70345336179994,97.51796940992493,2806,90,15617,197,33974,1,27977
"Bullock, AL",1011,309,3029,6.386441011178897,12.71962270326792,2.557435949127691,147,160,46.79253360076738,27.97201492692489,24.5530889893577,31.06644053542098,7.541958278974052,39.57977672366722,91.75556525981108,834,2,2607,135,20584,1,6564
"Butler, AL",1013,316,6581,6.38940865322652,15.9398935238385,2.460562714039508,160,182,48.76391874746802,24.74591145467433,23.71940053725412,26.14373281708162,12.80668720369114,33.79517288844224,90.19431557804607,1693,12,6250,374,23286,2,12717
"Calhoun, AL",1015,398,32897,6.289364613307489,13.68521557175734,2.419805093191429,947,244,45.6441686231122,16.16311188273089,27.4070014900355,17.33025207798457,84.30133569017522,27.20357890209365,93.85590514968386,7685,86,31589,488,30208,3,60907
"Chambers, AL",1017,356,11034,6.588619526743182,15.759210784426,2.488723938554577,153,144,48.37765412463074,17.55176298893591,23.69463737058535,19.39533867638196,27.26910739233027,37.45799853851845,94.09652591732205,2761,28,10311,189,27642,1,21564
"Cherokee, AL",1019,356,8088,6.131434425177944,15.20111394561715,2.393900138577531,129,258,44.48133144934449,16.17940141584391,18.77914753797927,34.267400453085,25.41670677445656,37.6825491993707,97.98505895729515,1774,25,7893,619,30246,1,14504
"Chilton, AL",1021,372,12507,7.007875104297514,12.44843427718932,2.576797456010798,173,323,41.96868097865441,15.31262726956783,17.82209469190414,31.14131116148701,25.3575776053753,35.14245455578038,97.03901357773353,2515,27,11912,230,31277,1,22815
"Choctaw, AL",1023,293,5515,7.017972764078291,13.87508967046898,2.522016398385219,25,148,45.10626921795256,23.77373443282472,12.78589430784976,33.1661834999624,8.567773723422619,36.55628535738816,92.4837839671195,1339,15,5017,242,24355,1,10560
"Clarke, AL",1025,327,8675,7.592288215436029,12.892811400444,2.639957230501929,150,113,45.03579121537603,23.0039250308336,16.77428825063957,28.55003193689407,10.21900466783028,29.99696426861237,91.98678994339618,2027,152,7869,580,26373,1,18445
"Clay, AL",1027,258,4495,6.337589908868267,16.14057508266667,2.396286898608893,86,211,45.43107191372463,17.07179337714046,22.78923608560956,28.20667591977561,10.89882352844509,34.3529863227923,95.26005179067843,993,0,4326,256,26417,1,9112
"Cleburne, AL",1029,369,4488,6.187327465383676,13.10754747978883,2.532615614780904,83,193,41.57129998280402,13.61810391281084,19.17066885049092,32.02522290730406,11.02158281201789,37.83720776734089,95.90009985333147,826,15,4262,88,28871,0,8966
"Coffee, AL",1031,387,12421,6.306900570254644,13.81143759320634,2.460123877355713,206,421,45.36143432867068,14.82074070041505,27.58275975400933,16.66853313307338,29.00005336915351,27.93347973480525,94.33077012843364,2654,50,11840,282,31384,3,22621
"Colbert, AL",1033,398,17013,6.100974534042875,15.07151817376448,2.40951365776693,233,338,44.49418657025698,13.84160069099699,24.1874724250835,12.03579536008284,41.70499277780596,27.27804275777129,95.6286957277844,3778,26,16420,272,30264,2,31888
"Conecuh, AL",1035,281,4770,6.210273819456916,15.0709635590449,2.43736363568056,99,164,47.13936832692487,27.31017736907827,18.28073531029528,27.94734713982471,8.562837651000208,33.77425825468889,91.29803172963203,1247,15,4378,374,21432,1,9642
"Coosa, AL",1037,293,4073,6.451708576694198,13.54550154889331,2.496560718065791,47,139,45.62540303051563,15.29755749568264,14.36179726005754,33.10115873079203,9.429273295886375,34.73754782386342,94.67532682719357,885,22,3840,81,29405,0,7678
"Covington, AL",1039,333,12141,5.95238767124644,17.51866975584982,2.383369177269704,204,314,45.89867326824255,18.54188896739479,22.27440353119593,20.51267500814929,17.9577754984726,32.72436728130662,93.2239215698961,3030,58,11445,348,24166,2,22447
"Crenshaw, AL",1041,274,4307,5.982278635493288,16.68454511252371,2.37951146255762,118,222,46.4157754744195,22.01945035136931,23.82702410624714,29.62362059878683,10.90113075940496,40.74592163514282,95.82540613038084,1089,25,4121,123,24661,1,8388
